Date,Country,Platform,DAU,Impressions
27.01.2017,UNITED KINGDOM,Android,18242,41795
27.01.2017,UNITED STATES,iOS,202554,429580
27.01.2017,UNITED STATES,Android,138989,316775
27.01.2017,FRANCE,iOS,16625,30022
27.01.2017,FRANCE,Android,17897,33545
27.01.2017,AUSTRALIA,iOS,10554,21590
27.01.2017,AUSTRALIA,Android,3702,8268
27.01.2017,CANADA,iOS,22478,53128
27.01.2017,CANADA,Android,8895,21113
28.01.2017,GERMANY,iOS,17514,53569
28.01.2017,GERMANY,Android,24283,79939
28.01.2017,UNITED KINGDOM,iOS,35089,78127
28.01.2017,UNITED KINGDOM,Android,19246,42356
28.01.2017,UNITED STATES,iOS,209545,446391
28.01.2017,UNITED STATES,Android,143038,319610
28.01.2017,FRANCE,iOS,16970,30402
28.01.2017,FRANCE,Android,18502,32227
28.01.2017,AUSTRALIA,iOS,10482,21632
28.01.2017,AUSTRALIA,Android,3691,8401
28.01.2017,CANADA,iOS,23038,54960
28.01.2017,CANADA,Android,9143,21859
29.01.2017,GERMANY,iOS,18496,60719
29.01.2017,GERMANY,Android,24904,91489
29.01.2017,UNITED KINGDOM,iOS,35968,85709
29.01.2017,UNITED KINGDOM,Android,19838,47285
29.01.2017,UNITED STATES,iOS,209620,461729
29.01.2017,UNITED STATES,Android,144349,336697
29.01.2017,FRANCE,iOS,17751,34576
29.01.2017,FRANCE,Android,19528,37447
29.01.2017,AUSTRALIA,iOS,10702,22695
29.01.2017,AUSTRALIA,Android,3671,8394
29.01.2017,CANADA,iOS,23073,58069
29.01.2017,CANADA,Android,9212,22609
30.01.2017,GERMANY,iOS,17757,51857
30.01.2017,GERMANY,Android,24450,79322
30.01.2017,UNITED KINGDOM,iOS,33603,77168
30.01.2017,UNITED KINGDOM,Android,18622,44017
30.01.2017,UNITED STATES,iOS,202247,436082
30.01.2017,UNITED STATES,Android,140242,324534
30.01.2017,FRANCE,iOS,16057,30994
30.01.2017,FRANCE,Android,18099,34534
30.01.2017,AUSTRALIA,iOS,10183,20925
30.01.2017,AUSTRALIA,Android,3624,7816
30.01.2017,CANADA,iOS,22122,54326
30.01.2017,CANADA,Android,8906,21861
31.01.2017,GERMANY,iOS,17407,38104
31.01.2017,GERMANY,Android,23786,57914
31.01.2017,UNITED KINGDOM,iOS,33503,54631
31.01.2017,UNITED KINGDOM,Android,18396,30426
31.01.2017,UNITED STATES,iOS,202044,347953
31.01.2017,UNITED STATES,Android,140676,251313
31.01.2017,FRANCE,iOS,15872,22245
31.01.2017,FRANCE,Android,17556,24660
31.01.2017,AUSTRALIA,iOS,10027,17916
31.01.2017,AUSTRALIA,Android,3528,6658
31.01.2017,CANADA,iOS,21864,42298
31.01.2017,CANADA,Android,8816,16751
